Filename,CPU User Time Used (ms),TAU (ms)
DPa_0_2024_05_07_11_44_06.txt,830,1000
DPa_1_2024_05_07_11_45_01.txt,93930,169000
DPa_2_2024_05_07_11_47_24.txt,1598580,642000
DPa_4_2024_05_07_12_14_54.txt,242290,1000
DPa_5_2024_05_07_12_19_47.txt,714000,440000
DPa_6_2024_05_07_12_32_02.txt,65680,115000
DPa_7_2024_05_07_12_33_58.txt,81150,116000
DPa_8_2024_05_07_12_35_58.txt,1838130,270000
DPa_9_2024_05_07_13_07_07.txt,95350,345000
DPa_10_2024_05_07_13_09_32.txt,1387290,172000
DPa_11_2024_05_07_13_33_20.txt,363600,310000
DPa_13_2024_05_07_13_40_14.txt,78490,660000
DPa_14_2024_05_07_13_42_25.txt,210300,172000
DPa_16_2024_05_07_13_46_45.txt,811290,133000
DPa_17_2024_05_07_14_01_07.txt,2892150,381000
DPa_19_2024_05_07_14_50_11.txt,124660,1000
DPa_20_2024_05_07_14_53_10.txt,118970,693000
DPa_21_2024_05_07_14_56_00.txt,145600,545000
DPa_22_2024_05_07_14_59_17.txt,3066580,1000
DPa_23_2024_05_07_15_51_15.txt,378780,210000
DPa_24_2024_05_07_15_58_25.txt,306390,215000
DPa_26_2024_05_08_07_20_37.txt,849480,558000
DPa_27_2024_05_07_16_06_09.txt,760,503000
DPa_30_2024_05_07_16_06_58.txt,225250,687000
DPa_31_2024_05_07_16_11_34.txt,155150,334000
DPa_33_2024_05_07_16_15_03.txt,44820,462000
DPa_34_2024_05_07_16_16_09.txt,2074580,156000
DPa_35_2024_05_07_16_51_13.txt,126670,1000
DPa_36_2024_05_07_16_54_14.txt,1456430,196000
DPa_37_2024_05_07_17_19_24.txt,278390,1000
DPa_38_2024_05_07_17_24_56.txt,113470,403000
DPa_39_2024_05_07_17_27_44.txt,54600,485000
DPa_40_2024_05_07_17_29_28.txt,258710,428000
DPa_41_2024_05_07_17_34_41.txt,2528110,335000
DPa_42_2024_05_08_07_35_07.txt,9300,363000
DPa_43_2024_05_07_18_17_51.txt,101530,637000
DPa_44_2024_05_07_18_20_25.txt,873490,460000
DPa_45_2024_05_07_18_35_19.txt,95890,229000
DPa_46_2024_05_07_18_37_48.txt,346240,186000
DPa_47_2024_05_07_18_44_28.txt,54380,100000
DPa_48_2024_05_07_18_45_54.txt,165530,440000
DPa_49_2024_05_07_18_49_10.txt,3347360,509000
DPa_50_2024_05_07_19_45_51.txt,855950,1000
DPa_51_2024_05_07_20_00_49.txt,135600,170000
DPa_52_2024_05_07_20_03_56.txt,102290,138000
DPa_53_2024_05_07_20_06_28.txt,358710,162000
DPa_54_2024_05_07_20_13_18.txt,2541130,599000
DPa_55_2024_05_07_20_56_32.txt,231670,92000
DPa_56_2024_05_07_21_01_14.txt,3877280,171000
DPa_57_2024_05_08_07_35_17.txt,8930,546000
DPa_58_2024_05_08_07_35_28.txt,9380,337000
DPa_59_2024_05_07_22_07_05.txt,124770,232000
DPa_60_2024_05_07_22_10_02.txt,1679610,513000
DPa_61_2024_05_07_22_38_56.txt,51740,660000
DPa_64_2024_05_07_22_40_08.txt,70380,345000
DPa_66_2024_05_07_22_41_59.txt,167250,431000
DPa_67_2024_05_07_22_45_38.txt,380230,518000
DPa_68_2024_05_07_22_52_52.txt,253780,1000
DPa_69_2024_05_07_22_58_00.txt,1088480,1000
DPa_70_2024_05_07_23_16_28.txt,309020,339000
DPa_71_2024_05_07_23_22_33.txt,1606760,250000
DPa_72_2024_05_07_23_50_01.txt,99930,96000
DPa_73_2024_05_07_23_52_33.txt,3864090,1000
DPa_74_2024_05_08_00_57_53.txt,214450,146000
DPa_75_2024_05_08_01_02_20.txt,77130,389000
DPa_76_2024_05_08_01_04_26.txt,153810,176000
DPa_77_2024_05_08_01_07_50.txt,2538430,294000
DPa_78_2024_05_08_01_50_58.txt,184430,333000
DPa_80_2024_05_08_01_54_57.txt,62890,433000
DPa_81_2024_05_08_01_56_50.txt,141980,181000
DPa_82_2024_05_08_02_00_03.txt,2318350,536000
DPa_83_2024_05_08_02_39_32.txt,760,269000
DPa_84_2024_05_08_02_40_24.txt,135660,181000
DPa_85_2024_05_08_02_43_30.txt,135080,518000
DPa_86_2024_05_08_02_46_06.txt,917040,369000
DPa_87_2024_05_08_03_01_52.txt,730,139000
DPa_88_2024_05_08_03_02_43.txt,116560,265000
DPa_89_2024_05_08_03_05_33.txt,60410,463000
DPa_90_2024_05_08_03_07_22.txt,94940,316000
DPa_91_2024_05_08_03_09_47.txt,2301960,1000
DPa_92_2024_05_08_03_49_02.txt,122300,112000
DPa_93_2024_05_08_03_51_55.txt,95940,558000
DPa_95_2024_05_08_03_54_20.txt,138610,564000
DPa_96_2024_05_08_03_57_32.txt,473180,1000
DPa_97_2024_05_08_04_05_56.txt,1323030,241000
DPa_98_2024_05_08_04_28_51.txt,72420,411000
DPa_99_2024_05_08_04_30_52.txt,114670,181000
