,model,NMSE,size
0,Random Forests,-0.009,100
1,C5.0 (Decision Tree),-0.018,100
2,Neural Network,-19.019,100
3,Gradient Boosting Machine (GBM),-0.013,100
4,eXtreme Gradient Boosting Tree (xGBTree),-0.012,100
5,Random Forests,-0.009,200
6,C5.0 (Decision Tree),-0.015,200
7,Neural Network,-8.118,200
8,Gradient Boosting Machine (GBM),-0.01,200
9,eXtreme Gradient Boosting Tree (xGBTree),-0.011,200
10,Random Forests,-0.008,300
11,C5.0 (Decision Tree),-0.014,300
12,Neural Network,-4.199,300
13,Gradient Boosting Machine (GBM),-0.008,300
14,eXtreme Gradient Boosting Tree (xGBTree),-0.009,300
15,Random Forests,-0.008,400
16,C5.0 (Decision Tree),-0.012,400
17,Neural Network,-12.332,400
18,Gradient Boosting Machine (GBM),-0.008,400
19,eXtreme Gradient Boosting Tree (xGBTree),-0.009,400
20,Random Forests,-0.008,500
21,C5.0 (Decision Tree),-0.015,500
22,Neural Network,-7.199,500
23,Gradient Boosting Machine (GBM),-0.008,500
24,eXtreme Gradient Boosting Tree (xGBTree),-0.007,500
25,Random Forests,-0.007,600
26,C5.0 (Decision Tree),-0.011,600
27,Neural Network,-14.374,600
28,Gradient Boosting Machine (GBM),-0.007,600
29,eXtreme Gradient Boosting Tree (xGBTree),-0.007,600
30,Random Forests,-0.007,700
31,C5.0 (Decision Tree),-0.015,700
32,Neural Network,-5.688,700
33,Gradient Boosting Machine (GBM),-0.007,700
34,eXtreme Gradient Boosting Tree (xGBTree),-0.007,700
35,Random Forests,-0.007,800
36,C5.0 (Decision Tree),-0.013,800
37,Neural Network,-3.156,800
38,Gradient Boosting Machine (GBM),-0.007,800
39,eXtreme Gradient Boosting Tree (xGBTree),-0.007,800
40,Random Forests,-0.007,900
41,C5.0 (Decision Tree),-0.012,900
42,Neural Network,-6.769,900
43,Gradient Boosting Machine (GBM),-0.007,900
44,eXtreme Gradient Boosting Tree (xGBTree),-0.007,900
45,Random Forests,-0.007,1000
46,C5.0 (Decision Tree),-0.012,1000
47,Neural Network,-4.175,1000
48,Gradient Boosting Machine (GBM),-0.007,1000
49,eXtreme Gradient Boosting Tree (xGBTree),-0.007,1000
